epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,826.918,2.81927,15.8864,2.26038,0.0002,0.41379,0.00014,4e-05,2.63311,18.5725,2.00669,0.000661692,0.000661692,0.000661692
2,1635.7,2.95045,9.16349,2.32523,4e-05,0.06897,2e-05,1e-05,3.03044,10.7659,4.80734,0.00131521,0.00131521,0.00131521
3,2439.8,2.99368,5.78019,2.24707,0.00044,0.03448,0.00011,4e-05,3.67202,38.285,60.0278,0.00195552,0.00195552,0.00195552
4,3268.27,2.99427,5.15616,2.31574,0,0,0,0,3.92967,13.4534,62.5397,0.0019406,0.0019406,0.0019406
5,4091.24,2.91824,4.99775,2.26159,0.00054,0.17241,0.00142,0.0005,2.94439,7.30071,2.24467,0.0019208,0.0019208,0.0019208
6,4889.7,3.0007,5.03096,2.28095,0.00054,0.2069,0.00045,0.00016,2.68289,4.66773,1.98858,0.001901,0.001901,0.001901
7,5941.76,2.97934,4.90226,2.28089,0.00048,0.2069,0.00035,0.00012,2.70769,5.41603,2.03271,0.0018812,0.0018812,0.0018812
8,6766.86,2.89784,4.75021,2.31405,0.00116,0.06897,0.00063,6e-05,2.57301,5.0225,1.98317,0.0018614,0.0018614,0.0018614
9,7518.38,2.70327,4.66217,2.15124,0,0,0,0,2.63334,4.57058,2.06283,0.0018416,0.0018416,0.0018416
10,8263.17,2.80573,4.56321,2.17612,0.00091,0.24138,0.00062,0.00023,2.50265,4.622,2.06856,0.0018218,0.0018218,0.0018218
11,9003.74,2.89293,4.65557,2.36973,0.00099,0.03448,0.00051,0.00021,2.4568,4.32881,1.94195,0.001802,0.001802,0.001802
12,9740.27,2.7925,4.63991,2.17375,0,0,0,0,2.55685,4.45326,2.07147,0.0017822,0.0017822,0.0017822
13,10476.8,2.76622,4.52978,2.18367,0.00113,0.72414,0.0017,0.00039,2.45642,5.00532,1.98846,0.0017624,0.0017624,0.0017624
14,11216.2,2.69535,4.47338,2.14161,0.00051,0.37931,0.00046,0.0001,2.42957,4.88507,1.97367,0.0017426,0.0017426,0.0017426
15,11957.7,2.64396,4.45068,2.08711,0.00222,0.27586,0.00242,0.00103,2.40744,4.15355,1.93661,0.0017228,0.0017228,0.0017228
16,12698.7,2.61837,4.43033,2.09464,0.0016,0.10345,0.00131,0.00037,2.5824,4.31951,1.99386,0.001703,0.001703,0.001703
17,13435,2.6179,4.31396,2.08058,0,0,0,0,2.58546,4.8794,2.20917,0.0016832,0.0016832,0.0016832
18,14172.6,2.6882,4.39476,2.14367,0.00095,0.41379,0.00099,0.00027,2.45347,4.52627,1.98549,0.0016634,0.0016634,0.0016634
19,14912.9,2.75097,4.29495,2.18195,0.00079,0.51724,0.00257,0.00055,2.59886,5.04924,2.09871,0.0016436,0.0016436,0.0016436
20,15652,2.60367,4.12845,2.11314,0.00068,0.86207,0.00248,0.00067,2.39581,6.07898,1.9896,0.0016238,0.0016238,0.0016238
21,16387.1,2.5921,4.15977,2.14649,0.00312,0.31034,0.00603,0.00192,2.33039,3.91039,2.02403,0.001604,0.001604,0.001604
22,17125.9,2.63443,4.15343,2.17551,0.00111,0.27586,0.00293,0.00074,2.3022,4.18824,1.99564,0.0015842,0.0015842,0.0015842
23,17865.4,2.6312,4.25737,2.11714,0.00133,0.51724,0.00706,0.00242,2.33042,4.34508,1.94415,0.0015644,0.0015644,0.0015644
24,18604,2.55757,4.09962,2.08205,0.00637,0.17241,0.00536,0.00166,2.65238,4.08786,2.11536,0.0015446,0.0015446,0.0015446
25,19341.6,2.50724,4.01561,2.00669,0.00088,0.93103,0.00616,0.00139,2.42134,6.03026,2.03275,0.0015248,0.0015248,0.0015248
26,20083.2,2.59427,3.83802,2.14584,0.00242,0.27586,0.00299,0.00092,2.72976,4.03028,2.11708,0.001505,0.001505,0.001505
27,20832.5,2.56683,3.96329,2.11211,0.00123,0.7931,0.04636,0.00984,2.4611,4.2155,2.01667,0.0014852,0.0014852,0.0014852
28,21572.7,2.53245,3.83183,2.10072,0.00171,0.7931,0.01227,0.00373,2.36979,4.44169,1.99842,0.0014654,0.0014654,0.0014654
29,22309.5,2.43754,3.86264,2.04872,0.00245,0.55172,0.00428,0.00166,2.56071,4.08547,2.08341,0.0014456,0.0014456,0.0014456
30,23049.3,2.51894,3.88474,2.08506,0.00205,0.62069,0.03113,0.00786,2.52997,4.04845,2.07666,0.0014258,0.0014258,0.0014258
31,23786.5,2.49006,3.92367,2.04105,0.00103,0.31034,0.00798,0.0038,2.40313,4.91346,2.05643,0.001406,0.001406,0.001406
32,24528.7,2.46365,3.97722,2.05287,0.00233,0.41379,0.00922,0.00274,2.54344,3.8678,2.08919,0.0013862,0.0013862,0.0013862
33,25269.1,2.55904,3.80397,2.1512,0.00217,0.58621,0.0034,0.00106,2.57597,4.05796,2.12839,0.0013664,0.0013664,0.0013664
34,26009.5,2.40045,3.64348,2.04209,0.0021,0.82759,0.01149,0.00338,2.42886,3.82454,2.07393,0.0013466,0.0013466,0.0013466
